GI	Eco_Ctrl1	Eco_Ctrl2	Eco_Exp1	Eco_Exp2
b0367	0	0	0	0
b0368	0	0	0	0
b0369	8	5	70	22
b0372	0	1	0	0
b0373	0	0	0	0
b0375	0	0	0	0
b0376	2	0	0	0
b0377	1	1	0	0
b0378	1	1	0	0
b0379	0	0	0	0
b0380	0	3	2	1
b0381	11	1	20	2
b0382	1	0	6	2
b0383	1	1	3	3
b0384	0	0	0	0
b0385	0	0	0	0
b0386	3	0	6	1
b0387	0	0	2	1
b0388	1	0	2	0
b0389	1	0	2	1
b0390	0	0	1	1
b0391	0	0	6	2
b0392	0	0	1	0
b0393	15	4	27	17
b0394	4	1	5	1
b0396	1	0	3	1
b0397	0	1	2	0
b0398	1	0	5	0
b0399	2	0	0	0
b0400	3	1	2	0
b0401	15	2	35	11
b0402	4	1	14	2
b0403	1	0	15	2
b0404	1	1	2	0
b0405	9	2	18	7
b0406	6	2	19	9
b0407	5	1	26	6
b0408	32	5	78	41
b0409	18	3	22	4
b0410	0	0	5	3
b0411	22	2	162	43
b0412	0	0	3	0
b0413	3	1	21	5
b0414	14	0	19	6
b0415	7	4	27	4
b0416	8	4	40	14
b0417	1	1	4	2
b0418	2	1	13	1
b0419	1	1	1	0
b0420	1	0	7	0
b0421	2	0	8	3
b0422	3	1	8	3
b0423	14	9	48	14
b0424	3	0	4	4
b0425	2	1	13	5
b0426	9	8	62	14
b0427	0	0	5	1
b0428	10	2	19	7
b0429	4	0	18	4
b0430	10	3	20	17
b0431	38	13	52	24
b0432	39	9	112	35
b0433	0	0	3	1
b0434	4	2	20	8
b0435	5	2	14	6
b0436	239	68	822	273
b0437	9	1	42	13
b0438	58	18	146	42
b0439	15	4	88	33
b0440	17	8	105	35
b0441	25	5	72	22
b0442	0	0	1	0
b0443	0	0	0	0
b0444	1	2	9	2
b0445	0	1	0	0
b0446	1	0	6	0
b0447	1	0	5	2
b0448	0	0	4	0
b0449	2	1	1	1
b0450	0	0	1	0
b0451	2	0	2	1
b0452	6	0	24	3
b0453	2	2	2	0
b0454	1	0	0	0
b0456	0	0	0	0
b0457	0	0	2	1
b0458	0	0	1	0
b0459	0	0	0	0
b0460	0	0	1	0
b0461	0	1	7	0
b0462	17	5	56	22
b0463	12	4	63	22
b0464	1	0	0	1
b0465	7	3	13	5
b0466	0	0	3	1
b0467	0	0	7	1
b0468	2	0	0	1
b0469	7	1	19	11
b0470	0	0	0	0
b0471	8	2	19	11
b0472	9	4	24	6
b0473	6	2	31	3
b0474	21	6	76	17
b0475	0	0	4	3
b0476	0	0	1	0
b0477	1	0	7	0
b0478	2	0	20	6
b0479	1	0	4	2
b0480	7	1	14	3
b0481	0	0	12	1
b0482	0	0	1	0
b0483	0	0	8	3
b0484	0	1	0	0
b0485	1	0	0	1
b0486	1	1	0	0
b0487	1	1	1	0
b0488	4	0	0	0
b0489	2	1	1	0
b0490	0	0	0	0
b0491	0	0	0	0
b0492	2	1	1	0
b0493	3	0	0	0
b0494	0	0	0	0
b0495	1	1	0	0
b0496	2	1	0	0
b0497	1	1	1	0
b0498	0	0	0	0
b0499	0	0	0	0
b0501	0	0	0	0
b0502	0	0	0	0
b0503	0	0	0	0
b0504	0	0	0	0
b0505	0	0	0	0
b0506	11	1	2	2
b0507	1	0	0	0
b0508	0	0	0	0
b0509	0	0	0	0
b0511	0	0	0	0
b0512	0	0	0	0
b0513	0	0	0	0
b0514	0	0	0	0
b0515	0	0	1	0
b0516	1	0	0	0
b0517	0	0	0	0
b0518	0	0	0	0
b0520	0	0	6	0
b0521	0	0	1	0
b0522	22	5	29	3
b0523	4	0	3	2
b0524	1	1	3	1
b0525	22	8	78	31
b0526	14	5	55	14
b0527	0	0	2	0
b0528	2	1	15	2
b0529	18	7	50	18
b0530	0	0	0	0
b0531	0	0	0	0
b0532	0	0	1	0
b0533	0	1	0	0
b0534	0	1	2	0
b0535	0	0	0	0
b0537	0	0	0	0
b0539	0	0	0	0
b0540	0	0	0	0
b0541	1	0	0	0
b0542	1	0	0	0
b0543	0	0	0	0
b0544	0	0	0	0
b0545	0	0	0	0
b0546	0	0	0	0
b0547	0	0	0	0
b0548	0	0	0	0
b0549	0	0	0	0
b0550	0	0	0	0
b0551	0	0	0	0
b0552	1	0	0	0
b0553	0	0	0	0
b0554	0	0	0	1
b0555	0	0	0	0
b0556	0	0	0	0
b0557	1	0	0	0
b0558	0	0	0	0
b0559	0	0	0	0
b0560	0	0	0	0
b0561	1	0	0	0
b0562	0	0	0	0
b0563	0	0	0	0
b0564	0	0	0	0
b0565	9	3	8	4
b0566	0	0	0	0
b0567	0	0	0	0
b0568	0	0	3	2
b0569	0	0	1	0
b0570	0	0	3	1
b0571	6	5	25	7
b0572	0	0	0	0
b0573	0	0	0	0
b0574	0	0	1	1
b0575	0	0	2	0
b0576	4	1	13	3
b0577	1	1	1	0
b0578	3	0	0	0
b0579	0	0	0	0
b0580	0	0	1	0
b0581	0	0	0	0
b0582	1	0	1	0
b0583	2	0	0	0
b0584	43	14	171	51
b0585	2	1	15	6
b0586	23	9	53	18
b0587	0	0	0	0
b0588	0	0	1	1
b0589	0	1	1	1
b0590	5	3	7	1
b0591	27	9	78	26
b0592	7	4	44	23
b0593	13	9	58	14
b0594	6	3	31	10
b0595	8	2	32	9
b0596	6	0	24	8
b0597	0	0	8	4
b0598	4	2	14	5
b0599	2	0	4	2
b0600	0	1	6	1
b0601	0	0	0	0
b0602	0	0	0	0
b0603	0	0	0	0
b0604	0	0	1	1
b0605	41	14	124	51
b0606	11	2	47	10
b0607	1	0	16	10
b0608	1	0	0	0
b0610	4	1	4	4
b0611	1	0	7	0
b0612	0	0	0	0
b0613	0	0	0	0
b0614	0	0	0	0
b0615	0	0	1	0
b0616	0	0	0	0
b0617	0	0	0	0
b0618	0	0	0	0
b0619	1	0	1	0
b0620	1	0	1	0
b0621	0	0	0	0
b0622	0	0	0	0
b0623	11	8	17	5
b0624	0	1	7	1
b0627	10	2	60	43
b0628	21	5	78	20
b0629	0	0	0	0
b0630	2	1	5	1
b0631	3	1	25	2
b0632	2	1	32	13
b0633	4	0	13	4
b0634	1	1	9	2
b0635	0	0	3	1
b0636	10	2	20	11
b0637	11	4	57	17
b0638	0	0	0	0
b0639	0	0	1	0
b0640	1	0	9	0
b0641	40	13	64	33
b0642	88	24	200	58
b0643	4	1	4	0
b0644	0	0	0	0
b0645	0	0	0	0
b0646	0	0	0	0
b0647	0	0	0	0
b0648	0	0	0	0
b0649	0	0	0	0
b0650	0	0	0	0
b0651	1	0	1	0
b0652	2	0	1	1
b0653	0	0	2	0
b0654	0	0	2	0
b0655	4	1	9	3
b0656	0	1	0	0
b0657	3	0	8	3
b0658	5	0	9	3
b0659	2	0	2	0
b0660	2	0	4	2
b0661	33	15	143	49
b0662	3	2	19	5
b0674	9	3	171	41
b0675	7	2	29	4
b0676	0	1	3	3
b0677	2	2	6	1
b0678	3	0	3	0
b0679	3	3	12	2
b0680	9	5	52	12
b0681	0	0	0	0
b0682	0	0	2	0
b0683	11	4	46	15
b0684	11	8	73	11
b0685	2	0	4	1
b0686	2	2	18	5
b0687	3	1	14	2
b0688	8	2	22	8
b0689	0	0	0	0
b0691	0	0	0	0
b0692	1	0	2	0
b0693	0	0	0	0
b0694	0	0	1	0
b0695	6	2	10	5
b0696	0	1	5	1
b0697	1	1	0	2
b0698	0	0	1	1
b0699	13	3	8	3
b0700	1	1	0	0
b0702	0	0	0	0
b0703	0	0	0	0
b0704	0	0	0	0
b0705	0	0	1	0
b0706	0	0	0	0
b0707	0	0	0	0
b0708	1	1	0	0
b0709	0	0	1	0
b0710	5	3	31	11
b0711	7	0	16	7
b0712	3	2	22	7
b0713	1	2	11	1
b0714	0	0	1	0
b0715	0	0	0	0
b0716	0	0	0	0
b0717	0	0	0	0
b0718	0	0	0	0
b0719	0	0	0	0
b0720	31	4	85	27
b0721	0	1	26	5
b0722	0	1	6	5
b0723	4	1	14	5
b0724	2	0	6	2
b0726	8	1	36	11
b0727	9	2	43	13
b0728	4	2	20	3
b0729	2	0	17	2
b0730	0	0	0	0
b0731	0	0	0	0
b0732	0	1	0	0
b0733	26	4	60	20
b0734	9	5	28	12
b0735	0	0	5	1
b0736	4	3	10	4
b0737	5	1	22	5
b0738	1	1	14	3
b0739	4	1	8	2
b0740	54	12	248	89
b0741	22	10	127	33
b0742	4	1	26	7
b0750	1	0	7	1
b0751	1	0	13	11
b0752	0	2	1	0
b0753	0	0	1	0
b0754	19	8	88	21
b0755	148	40	669	178
b0756	9	2	36	11
b0757	10	1	7	6
b0758	0	0	0	0
b0759	4	0	5	1
b0760	1	1	3	2
b0761	2	0	3	0
b0762	0	0	9	1
b0763	3	1	5	1
b0764	1	0	2	0
b0765	0	1	1	0
b0766	3	0	7	4
b0767	6	1	9	2
b0768	0	0	0	0
b0769	0	0	0	0
b0770	0	0	0	0
b0771	0	0	0	0
b0772	2	0	13	7
b0773	0	0	4	2
b0774	10	5	13	6
b0775	5	0	22	8
b0776	1	0	5	2
b0777	1	0	10	4
b0778	2	2	8	0
b0779	3	1	20	10
b0780	2	1	6	5
b0781	0	1	10	3
b0782	0	0	7	3
b0783	2	2	6	2
b0784	1	0	6	2
b0785	1	1	1	0
b0786	4	2	0	1
b0787	0	0	0	0
b0788	0	0	0	0
b0789	0	0	1	0
b0790	0	1	1	0
b0791	0	1	1	1
b0792	0	0	0	0
b0793	0	0	0	0
b0794	1	0	0	0
b0795	0	0	0	0
b0796	1	0	0	0
b0797	6	2	0	0
b0798	0	0	0	0
b0799	0	0	0	0
b0800	6	0	0	0
b0801	4	2	0	2
b0802	1	2	0	0
b0803	0	0	0	0
b0804	0	0	0	0
b0805	5	3	2	0
b0806	0	0	0	0
b0807	2	0	0	0
b0808	0	1	0	0
b0809	6	0	0	0
b0810	4	2	0	1
b0811	9	0	5	1
b0812	11	4	4	1
b0813	0	1	0	0
b0814	66	19	52	14
b0815	1	0	0	0
b0817	3	1	2	0
b0818	5	0	1	0
b0819	24	14	8	5
b0820	10	1	3	1
b0821	0	2	0	0
b0822	4	1	1	0
b0823	0	1	0	1
b0824	0	0	0	0
b0825	0	1	0	2
b0826	3	0	2	1
b0827	7	1	4	1
b0828	4	4	0	0
b0829	2	0	0	1
b0830	1	0	0	0
b0831	0	1	0	0
b0832	0	0	1	1
b0833	0	0	0	0
b0834	0	0	0	0
b0835	3	4	2	0
b0836	1	0	1	0
b0837	0	1	0	0
b0838	12	4	2	2
b0839	7	0	5	1
b0840	2	1	1	0
b0841	3	1	9	1
b0842	1	0	6	3
b0843	0	0	0	0
b0844	0	0	2	0
b0845	1	0	3	2
b0846	0	0	1	0
b0847	7	1	12	3
b0848	0	0	0	0
b0849	1	2	2	0
b0850	0	1	1	1
b0851	0	0	5	1
b0852	2	0	6	3
b0853	4	1	8	1
b0854	9	2	18	7
b0855	0	0	0	0
b0856	0	0	2	0
b0857	0	0	0	3
b0858	1	0	2	0
b0859	1	3	5	0
b0860	0	0	3	1
b0861	3	0	7	3
b0862	0	1	3	0
b0863	5	4	22	5
b0864	2	2	18	3
b0865	0	0	0	0
b0866	1	1	6	2
b0867	1	0	1	2
b0868	0	1	14	3
b0869	0	0	2	2
b0870	1	1	18	6
b0871	0	5	4	1
b0872	0	0	1	1
b0873	0	0	4	0
b0874	2	0	10	2
b0875	3	0	3	1
b0876	2	1	2	1
b0877	0	0	26	6
b0878	2	0	2	5
b0879	3	0	6	5
b0880	5	1	32	4
b0881	0	0	12	0
b0882	78	30	336	75
b0884	60	33	145	60
b0885	2	0	3	2
b0886	0	0	1	1
b0887	1	2	6	2
b0888	8	3	44	22
b0889	4	0	22	10
b0890	3	3	12	4
b0891	2	2	5	2
b0892	0	0	2	1
b0893	24	6	86	24
b0894	0	0	0	0
b0895	0	1	1	1
b0896	0	2	2	0
b0897	2	1	1	0
b0898	7	2	39	16
b0899	0	0	0	0
b0900	0	0	1	1
b0901	1	0	0	0
b0902	1	0	10	2
b0903	79	17	137	45
b0904	1	3	2	1
b0905	6	2	4	3
b0906	1	0	0	1
b0907	27	12	91	28
b0908	1	1	12	3
b0909	0	0	0	0
b0910	14	3	44	20
b0911	580	177	1784	623
b0912	9	5	32	10
b0913	0	0	1	0
b0914	19	3	47	18
b0915	0	0	3	2
b0916	0	1	1	0
b0917	4	0	9	2
b0918	6	5	20	8
b0919	1	0	5	1
b0920	1	0	4	0
b0921	3	0	9	3
b0922	5	2	17	5
b0923	5	0	4	1
b0924	13	4	35	13
b0925	1	0	3	2
b0926	3	6	29	4
b0927	8	2	40	13
b0928	34	11	143	42
b0929	68	25	476	125
b0930	55	16	111	30
b0931	18	7	72	16
b0932	10	3	37	13
b0933	0	0	0	1
b0934	0	0	0	0
b0935	0	0	0	0
b0936	0	0	1	0
b0937	0	0	0	0
b0938	0	0	0	0
b0939	0	0	0	0
b0940	0	0	0	0
b0941	0	0	0	0
b0942	0	0	0	0
b0943	0	0	0	0
b0944	0	0	0	0
